iteration,X,Y
643,103.215,-2.34933515
644,103.22,-2.348713641
645,103.225,-2.348092197
646,103.23,-2.347470815
647,103.235,-2.346849498
648,103.24,-2.346228244
649,103.245,-2.345607053
650,103.25,-2.344985927
651,103.255,-2.344364863
652,103.26,-2.343743864
653,103.265,-2.343122927
654,103.27,-2.342502055
655,103.275,-2.341881246
656,103.28,-2.3412605
657,103.285,-2.340639818
658,103.29,-2.3400192
659,103.295,-2.339398645
660,103.3,-2.338778153
661,103.305,-2.338157725
662,103.31,-2.33753736
663,103.315,-2.336917059
664,103.32,-2.336296821
665,103.325,-2.335676647
666,103.33,-2.335056536
667,103.335,-2.334436489
668,103.34,-2.333816505
669,103.345,-2.333196584
670,103.35,-2.332576727
671,103.355,-2.331956933
672,103.36,-2.331337202
673,103.365,-2.330717535
674,103.37,-2.330097931
675,103.375,-2.329478391
676,103.38,-2.328858913
677,103.385,-2.3282395
678,103.39,-2.327620149
679,103.395,-2.327000862
680,103.4,-2.326381638
681,103.405,-2.325762477
682,103.41,-2.325143379
683,103.415,-2.324524345
684,103.42,-2.323905374
685,103.425,-2.323286467
686,103.43,-2.322667622
687,103.435,-2.322048841
688,103.44,-2.321430123
689,103.445,-2.320811468
690,103.45,-2.320192876
691,103.455,-2.319574348
692,103.46,-2.318955882
693,103.465,-2.31833748
694,103.47,-2.317719141
695,103.475,-2.317100865
696,103.48,-2.316482652
697,103.485,-2.315864503
698,103.49,-2.315246416
699,103.495,-2.314628393
700,103.5,-2.314010432
701,103.505,-2.313392535
702,103.51,-2.312774701
703,103.515,-2.312156929
704,103.52,-2.311539221
705,103.525,-2.310921576
706,103.53,-2.310303994
707,103.535,-2.309686475
708,103.54,-2.309069019
709,103.545,-2.308451626
710,103.55,-2.307834296
711,103.555,-2.307217029
712,103.56,-2.306599825
713,103.565,-2.305982684
714,103.57,-2.305365606
715,103.575,-2.30474859
716,103.58,-2.304131638
717,103.585,-2.303514749
718,103.59,-2.302897922
719,103.595,-2.302281159
720,103.6,-2.301664458
721,103.605,-2.30104782
722,103.61,-2.300431245
723,103.615,-2.299814733
724,103.62,-2.299198284
725,103.625,-2.298581898
726,103.63,-2.297965574
727,103.635,-2.297349314
728,103.64,-2.296733116
729,103.645,-2.296116981
730,103.65,-2.295500908
731,103.655,-2.294884899
732,103.66,-2.294268952
733,103.665,-2.293653068
734,103.67,-2.293037247
735,103.675,-2.292421488
736,103.68,-2.291805793
737,103.685,-2.29119016
738,103.69,-2.290574589
739,103.695,-2.289959082
740,103.7,-2.289343637
741,103.705,-2.288728255
742,103.71,-2.288112935
743,103.715,-2.287497679
744,103.72,-2.286882484
745,103.725,-2.286267353
746,103.73,-2.285652284
747,103.735,-2.285037278
748,103.74,-2.284422334
749,103.745,-2.283807453
750,103.75,-2.283192635
751,103.755,-2.282577879
752,103.76,-2.281963185
753,103.765,-2.281348555
754,103.77,-2.280733987
755,103.775,-2.280119481
756,103.78,-2.279505038
757,103.785,-2.278890658
758,103.79,-2.27827634
759,103.795,-2.277662084
760,103.8,-2.277047891
761,103.805,-2.276433761
762,103.81,-2.275819693
763,103.815,-2.275205687
764,103.82,-2.274591744
765,103.825,-2.273977864
766,103.83,-2.273364045
767,103.835,-2.27275029
768,103.84,-2.272136596
769,103.845,-2.271522966
770,103.85,-2.270909397
771,103.855,-2.270295891
772,103.86,-2.269682447
773,103.865,-2.269069066
774,103.87,-2.268455747
775,103.875,-2.267842491
776,103.88,-2.267229296
777,103.885,-2.266616165
778,103.89,-2.266003095
779,103.895,-2.265390088
780,103.9,-2.264777143
781,103.905,-2.26416426
782,103.91,-2.26355144
783,103.915,-2.262938682
784,103.92,-2.262325986
785,103.925,-2.261713353
786,103.93,-2.261100781
787,103.935,-2.260488272
788,103.94,-2.259875825
789,103.945,-2.259263441
790,103.95,-2.258651119
791,103.955,-2.258038858
792,103.96,-2.25742666
793,103.965,-2.256814525
794,103.97,-2.256202451
795,103.975,-2.25559044
796,103.98,-2.25497849
797,103.985,-2.254366603
798,103.99,-2.253754778
799,103.995,-2.253143015
800,104,-2.252531315
801,104.005,-2.251919676
802,104.01,-2.2513081
803,104.015,-2.250696585
804,104.02,-2.250085133
805,104.025,-2.249473742
806,104.03,-2.248862414
807,104.035,-2.248251148
808,104.04,-2.247639944
809,104.045,-2.247028802
810,104.05,-2.246417722
811,104.055,-2.245806704
812,104.06,-2.245195748
813,104.065,-2.244584854
814,104.07,-2.243974021
815,104.075,-2.243363251
816,104.08,-2.242752543
817,104.085,-2.242141897
818,104.09,-2.241531313
819,104.095,-2.24092079
820,104.1,-2.24031033
821,104.105,-2.239699931
822,104.11,-2.239089595
823,104.115,-2.23847932
824,104.12,-2.237869107
825,104.125,-2.237258957
826,104.13,-2.236648868
827,104.135,-2.23603884
828,104.14,-2.235428875
829,104.145,-2.234818972
830,104.15,-2.23420913
831,104.155,-2.23359935
832,104.16,-2.232989632
833,104.165,-2.232379976
834,104.17,-2.231770381
835,104.175,-2.231160849
836,104.18,-2.230551378
837,104.185,-2.229941969
838,104.19,-2.229332621
839,104.195,-2.228723336
840,104.2,-2.228114112
841,104.205,-2.22750495
842,104.21,-2.226895849
843,104.215,-2.226286811
844,104.22,-2.225677834
845,104.225,-2.225068918
846,104.23,-2.224460065
847,104.235,-2.223851273
848,104.24,-2.223242542
849,104.245,-2.222633874
850,104.25,-2.222025266
851,104.255,-2.221416721
852,104.26,-2.220808237
853,104.265,-2.220199815
854,104.27,-2.219591455
855,104.275,-2.218983156
856,104.28,-2.218374918
857,104.285,-2.217766742
858,104.29,-2.217158628
859,104.295,-2.216550575
860,104.3,-2.215942584
861,104.305,-2.215334655
862,104.31,-2.214726786
863,104.315,-2.21411898
864,104.32,-2.213511235
865,104.325,-2.212903551
866,104.33,-2.212295929
867,104.335,-2.211688368
868,104.34,-2.211080869
869,104.345,-2.210473432
870,104.35,-2.209866055
871,104.355,-2.209258741
872,104.36,-2.208651487
873,104.365,-2.208044295
874,104.37,-2.207437165
875,104.375,-2.206830096
876,104.38,-2.206223088
877,104.385,-2.205616142
878,104.39,-2.205009257
879,104.395,-2.204402433
880,104.4,-2.203795671
881,104.405,-2.20318897
882,104.41,-2.20258233
883,104.415,-2.201975752
884,104.42,-2.201369235
885,104.425,-2.20076278
886,104.43,-2.200156385
887,104.435,-2.199550052
888,104.44,-2.198943781
889,104.445,-2.19833757
890,104.45,-2.197731421
891,104.455,-2.197125333
892,104.46,-2.196519306
893,104.465,-2.195913341
894,104.47,-2.195307436
895,104.475,-2.194701593
896,104.48,-2.194095812
897,104.485,-2.193490091
898,104.49,-2.192884432
899,104.495,-2.192278833
900,104.5,-2.191673296
901,104.505,-2.19106782
902,104.51,-2.190462405
903,104.515,-2.189857052
904,104.52,-2.189251759
905,104.525,-2.188646528
906,104.53,-2.188041358
907,104.535,-2.187436248
908,104.54,-2.1868312
909,104.545,-2.186226213
910,104.55,-2.185621287
911,104.555,-2.185016422
912,104.56,-2.184411619
913,104.565,-2.183806876
914,104.57,-2.183202194
915,104.575,-2.182597573
916,104.58,-2.181993014
917,104.585,-2.181388515
918,104.59,-2.180784077
919,104.595,-2.180179701
920,104.6,-2.179575385
921,104.605,-2.17897113
922,104.61,-2.178366936
923,104.615,-2.177762803
924,104.62,-2.177158731
925,104.625,-2.176554721
926,104.63,-2.17595077
927,104.635,-2.175346881
928,104.64,-2.174743053
929,104.645,-2.174139286
930,104.65,-2.173535579
931,104.655,-2.172931934
932,104.66,-2.172328349
933,104.665,-2.171724825
934,104.67,-2.171121362
935,104.675,-2.17051796
936,104.68,-2.169914619
937,104.685,-2.169311338
938,104.69,-2.168708119
939,104.695,-2.16810496
940,104.7,-2.167501862
941,104.705,-2.166898824
942,104.71,-2.166295848
943,104.715,-2.165692932
944,104.72,-2.165090077
945,104.725,-2.164487283
946,104.73,-2.163884549
947,104.735,-2.163281876
948,104.74,-2.162679264
949,104.745,-2.162076713
950,104.75,-2.161474222
951,104.755,-2.160871792
952,104.76,-2.160269423
953,104.765,-2.159667114
954,104.77,-2.159064866
955,104.775,-2.158462679
956,104.78,-2.157860552
957,104.785,-2.157258486
958,104.79,-2.156656481
959,104.795,-2.156054536
960,104.8,-2.155452652
961,104.805,-2.154850828
962,104.81,-2.154249065
963,104.815,-2.153647363
964,104.82,-2.153045721
965,104.825,-2.15244414
966,104.83,-2.151842619
967,104.835,-2.151241159
968,104.84,-2.150639759
969,104.845,-2.15003842
970,104.85,-2.149437142
971,104.855,-2.148835923
972,104.86,-2.148234766
973,104.865,-2.147633669
974,104.87,-2.147032632
975,104.875,-2.146431656
976,104.88,-2.14583074
977,104.885,-2.145229885
978,104.89,-2.14462909
979,104.895,-2.144028355
980,104.9,-2.143427681
981,104.905,-2.142827068
982,104.91,-2.142226515
983,104.915,-2.141626022
984,104.92,-2.14102559
985,104.925,-2.140425218
986,104.93,-2.139824906
987,104.935,-2.139224655
988,104.94,-2.138624464
989,104.945,-2.138024333
990,104.95,-2.137424263
991,104.955,-2.136824253
992,104.96,-2.136224303
993,104.965,-2.135624414
994,104.97,-2.135024585
