iteration,X,Y
894,-0.4636,-15.91962045
895,-0.463,-15.90172299
896,-0.4624,-15.88383596
897,-0.4618,-15.86595934
898,-0.4612,-15.84809315
899,-0.4606,-15.83023737
900,-0.46,-15.812392
901,-0.4594,-15.79455705
902,-0.4588,-15.7767325
903,-0.4582,-15.75891836
904,-0.4576,-15.74111462
905,-0.457,-15.72332129
906,-0.4564,-15.70553835
907,-0.4558,-15.68776581
908,-0.4552,-15.67000366
909,-0.4546,-15.6522519
910,-0.454,-15.63451053
911,-0.4534,-15.61677954
912,-0.4528,-15.59905894
913,-0.4522,-15.58134872
914,-0.4516,-15.56364887
915,-0.451,-15.5459594
916,-0.4504,-15.5282803
917,-0.4498,-15.51061158
918,-0.4492,-15.49295321
919,-0.4486,-15.47530522
920,-0.448,-15.45766758
921,-0.4474,-15.44004031
922,-0.4468,-15.42242339
923,-0.4462,-15.40481683
924,-0.4456,-15.38722061
925,-0.445,-15.36963475
926,-0.4444,-15.35205923
927,-0.4438,-15.33449406
928,-0.4432,-15.31693923
929,-0.4426,-15.29939473
930,-0.442,-15.28186058
931,-0.4414,-15.26433675
932,-0.4408,-15.24682326
933,-0.4402,-15.22932009
934,-0.4396,-15.21182725
935,-0.439,-15.19434474
936,-0.4384,-15.17687254
937,-0.4378,-15.15941066
938,-0.4372,-15.1419591
939,-0.4366,-15.12451785
940,-0.436,-15.10708691
941,-0.4354,-15.08966628
942,-0.4348,-15.07225595
943,-0.4342,-15.05485593
944,-0.4336,-15.0374662
